FSPO	Charlie Morton	ATL	SP	2	770.9	0
FSPY	Bailey Ober	MIN	SP	7	770.8	0
GPY	Eury Perez	MIA	SP	20	755.3	0
SSPO	Eduardo Rodriguez	ARI	SP	4	752.5	0
ERO	Nick Pivetta	BOS	SP,RP	5	750.9	0
SSPY	Bryce Miller	SEA	SP	15	748.8	0
SSPO	Lucas Giolito	BOS	SP	4	744.9	0
FSPO	Chris Sale	ATL	SP	2	742.8	0
FSPY	Cristian Javier	HOU	SP	7	740.3	0
BSPY	Reid Detmers	LAA	SP	2	737.7	0
FSPY	Hunter Greene	CIN	SP	7	732.9	0
BSPY	Brady Singer	KC	SP	2	715.0	0
FSPO	Kyle Gibson	STL	SP	2	714.0	0
FSPO	Miles Mikolas	STL	SP	2	712.5	0
FSPO	Kenta Maeda	DET	SP	2	704.4	0
FSPY	Clarke Schmidt	NYY	SP	7	695.4	0
FSPY	Dean Kremer	BAL	SP	7	693.4	0
SSPY	Shane Bieber	CLE	SP	15	685.6	0
ERY	Michael King	SD	RP	7	680.6	0
FSPO	Jon Gray	TEX	SP	2	673.9	0
SSPY	Josiah Gray	WSH	SP	15	668.7	0
BSPY	Louie Varland	MIN	SP	2	668.2	0
BSPO	Lance Lynn	STL	SP	1	667.6	0
SSPO	Nathan Eovaldi	TEX	SP	4	667.1	0
BSPY	Tanner Houck	BOS	SP	2	666.8	0
FSPO	Dane Dunning	TEX	SP	2	665.4	0
FSPO	Yu Darvish	SD	SP	2	655.9	0
SSPO	Taijuan Walker	PHI	SP	4	655.4	0
SSPO	Jose Quintana	NYM	SP	4	652.2	0
FSPY	Logan Allen	CLE	SP	7	649.9	0
BSPY	Griffin Canning	LAA	SP	2	644.3	0
FSPO	Seth Lugo	KC	SP	2	643.8	0
FSPO	Marcus Stroman	NYY	SP	2	642.8	0
FRY	Emmanuel Clase	CLE	RP	5	638.1	0
SSPY	Bryan Woo	SEA	SP	15	631.7	0
FSPO	Yusei Kikuchi	TOR	SP	2	630.8	0
FSPY	Patrick Sandoval	LAA	SP	7	626.8	0
FSPY	Nick Lodolo	CIN	SP	7	625.1	0
FSPY	J.P. Sears	OAK	SP	7	623.2	0
SSPO	Justin Verlander	HOU	SP	4	619.0	0
FSPY	Jordan Hicks	SF	RP	7	617.3	0
FSPY	Gavin Williams	CLE	SP	7	616.2	0
FSPY	Andrew Abbott	CIN	SP	7	615.9	0
SSPY	Brayan Bello	BOS	SP	15	610.2	0
FSPY	Ranger Suarez	PHI	SP	7	608.4	0
FSPY	Ryan Pepiot	TB	RP	7	604.8	0
ERY	Tanner Scott	MIA	RP	7	603.3	0
ERY	Camilo Doval	SF	RP	7	601.2	0
FRY	Matt Brash	SEA	RP	5	598.5	0
FSPO	Jack Flaherty	DET	SP	2	597.4	0
FSPY	Kutter Crawford	BOS	SP	7	597.0	0
FSPY	Triston McKenzie	CLE	SP	7	591.8	0
